month,seafood_catch,imports_of_seafood,exports_of_seafood,total_rainfall,month_mean_temp
2022-05-01,17.0,9382.0,1030.0,102.0,26.2
2022-04-01,16.0,10469.0,1162.0,239.6,25.1
2022-03-01,18.0,9538.0,1061.0,163.2,25.1
2022-02-01,21.0,7515.0,1423.0,175.0,24.8
2022-01-01,32.0,10749.0,1200.0,99.8,24.9
2021-12-01,23.0,12310.0,1697.0,119.6,25.4
2021-11-01,16.0,11127.0,1302.0,312.4,24.8
2021-10-01,27.0,9726.0,1378.0,177.0,25.8
2021-09-01,25.0,10046.0,1687.0,205.4,25.6
2021-08-01,25.0,9957.0,1945.0,293.6,24.8
2021-07-01,32.0,9778.0,1117.0,195.8,26.2
2021-06-01,12.0,9638.0,966.0,93.4,25.6
2021-05-01,29.0,10094.0,1126.0,245.8,26.0
2021-04-01,29.0,10574.0,1124.0,290.4,25.3
2021-03-01,29.0,11025.0,2141.0,182.4,25.0
2021-02-01,31.0,8385.0,2892.0,1.0,24.8
2021-01-01,32.0,11140.0,1258.0,692.8,23.8
2020-12-01,31.0,13369.0,1262.0,253.2,24.5
2020-11-01,28.0,10982.0,1579.0,220.6,25.0
2020-10-01,31.0,11513.0,1190.0,78.8,25.6
2020-09-01,33.0,11335.0,1565.0,150.2,24.9
2020-08-01,27.0,10370.0,1663.0,103.4,25.9
2020-07-01,27.0,11595.0,1836.0,140.8,25.5
2020-06-01,23.0,9776.0,1082.0,233.8,25.5
2020-05-01,34.0,8245.0,1404.0,255.6,26.1
2020-04-01,38.0,12077.0,1833.0,188.0,26.0
2020-03-01,32.0,10329.0,1258.0,108.8,25.9
2020-02-01,35.0,8418.0,1589.0,65.0,25.3
2020-01-01,18.0,10499.0,1294.0,88.4,25.2
2019-12-01,29.0,11887.0,1346.0,421.5,24.6
2019-11-01,71.0,11235.0,1690.0,137.4,25.4
2019-10-01,77.0,12127.0,1359.0,176.8,25.3
2019-09-01,178.0,9783.0,874.0,22.8,26.6
2019-08-01,85.0,10371.0,1815.0,11.8,27.1
2019-07-01,340.0,12235.0,2493.0,12.2,26.9
2019-06-01,221.0,8332.0,1292.0,173.8,26.1
2019-05-01,111.0,10783.0,1245.0,69.0,26.5
2019-04-01,94.0,10591.0,1053.0,174.8,25.9
2019-03-01,110.0,9208.0,1368.0,72.2,25.6
2019-02-01,49.0,6972.0,1018.0,31.6,25.4
2019-01-01,52.0,11879.0,1606.0,63.6,25.6
2018-12-01,73.0,11297.0,1349.0,172.6,25.3
2018-11-01,114.0,11046.0,1170.0,169.6,24.6
2018-10-01,188.0,11523.0,1625.0,234.4,25.2
2018-09-01,147.0,10295.0,1250.0,144.4,25.3
2018-08-01,143.0,10818.0,2567.0,121.6,26.1
2018-07-01,119.0,10116.0,2048.0,143.2,26.0
2018-06-01,113.0,9175.0,1662.0,182.6,25.6
2018-05-01,148.0,9607.0,1336.0,132.2,26.2
2018-04-01,121.0,9444.0,1048.0,61.2,25.8
2018-03-01,66.0,9138.0,1398.0,44.6,25.4
2018-02-01,39.0,7282.0,1043.0,14.8,24.8
2018-01-01,40.0,11465.0,1826.0,287.0,24.0
2017-12-01,36.0,9986.0,1539.0,371.2,24.6
2017-11-01,63.0,9838.0,1221.0,268.6,24.6
2017-10-01,123.0,10984.0,1666.0,120.8,25.3
2017-09-01,91.0,9081.0,1609.0,124.4,25.4
2017-08-01,188.0,11073.0,1837.0,84.2,25.9
2017-07-01,156.0,9416.0,1521.0,79.6,26.0
2017-06-01,125.0,9303.0,1156.0,106.0,25.9
2017-05-01,102.0,9397.0,1045.0,190.0,25.9
2017-04-01,101.0,9467.0,907.0,208.6,25.0
2017-03-01,50.0,10597.0,2221.0,136.2,24.9
2017-02-01,39.0,7873.0,1542.0,158.4,24.7
2017-01-01,33.0,9336.0,1280.0,197.6,24.7
2016-12-01,38.0,10029.0,1633.0,292.6,24.7
2016-11-01,118.0,10607.0,1353.0,290.2,24.9
2016-10-01,126.0,10525.0,2416.0,181.0,25.2
2016-09-01,128.0,10052.0,1712.0,118.9,25.1
2016-08-01,132.0,10846.0,1987.0,139.2,26.2
2016-07-01,116.0,9218.0,1345.0,168.6,25.8
2016-06-01,151.0,9601.0,1532.0,162.8,26.1
2016-05-01,103.0,8940.0,1281.0,193.8,26.5
2016-04-01,98.0,9413.0,1179.0,89.8,26.7
2016-03-01,115.0,10076.0,1953.0,6.2,26.6
2016-02-01,54.0,7478.0,1439.0,186.0,25.6
2016-01-01,56.0,10078.0,1628.0,126.6,26.0
2015-12-01,67.0,11294.0,2207.0,302.3,25.0
2015-11-01,112.0,10821.0,2054.0,72.6,25.5
2015-10-01,111.0,10380.0,1863.0,87.2,26.1
2015-09-01,91.0,10597.0,1545.0,61.6,26.5
2015-08-01,117.0,10314.0,1948.0,185.8,26.0
2015-07-01,100.0,10942.0,2976.0,116.8,26.7
2015-06-01,102.0,9333.0,1491.0,95.8,26.6
2015-05-01,105.0,9662.0,1581.0,89.0,26.4
2015-04-01,75.0,9818.0,1901.0,73.2,25.9
2015-03-01,113.0,9950.0,2100.0,84.4,25.5
2015-02-01,118.0,8653.0,1738.0,18.8,24.4
2015-01-01,153.0,9814.0,1421.0,79.6,24.6
2014-12-01,157.0,11019.0,1130.0,245.6,24.7
2014-11-01,168.0,9762.0,1207.0,250.8,24.8
2014-10-01,141.0,11321.0,1500.0,120.0,25.7
2014-09-01,129.0,10628.0,1336.0,83.6,25.7
2014-08-01,140.0,9351.0,1287.0,241.0,25.2
2014-07-01,95.0,10267.0,1597.0,148.6,25.8
2014-06-01,122.0,9601.0,1279.0,71.4,26.3
2014-05-01,107.0,10051.0,1216.0,125.8,25.8
2014-04-01,98.0,9861.0,1672.0,110.0,25.5
2014-03-01,93.0,10125.0,1477.0,66.0,25.1
2014-02-01,104.0,7625.0,984.0,0.2,24.5
2014-01-01,80.0,10247.0,1907.0,75.4,24.0
2013-12-01,111.0,10963.0,1547.0,348.2,24.1
2013-11-01,173.0,10188.0,1830.0,292.4,24.5
2013-10-01,131.0,11120.0,1777.0,285.4,24.6
2013-09-01,119.0,10967.0,2179.0,257.0,24.8
2013-08-01,130.0,9854.0,2273.0,165.6,25.1
2013-07-01,144.0,11294.0,2544.0,174.6,25.2
2013-06-01,144.0,11284.0,3243.0,111.4,25.9
2013-05-01,157.0,10179.0,1702.0,211.4,25.6
2013-04-01,95.0,9593.0,1454.0,159.4,25.3
2013-03-01,141.0,9622.0,2939.0,85.8,25.6
2013-02-01,150.0,6810.0,1539.0,395.2,24.3
2013-01-01,149.0,10941.0,2339.0,262.0,24.6
2012-12-01,179.0,10583.0,1491.0,363.4,24.4
2012-11-01,204.0,9931.0,1796.0,208.2,24.7
2012-10-01,158.0,11746.0,3612.0,122.2,25.2
2012-09-01,172.0,10429.0,2088.0,107.6,25.3
2012-08-01,178.0,10579.0,2359.0,119.0,25.4
2012-07-01,192.0,11652.0,3672.0,130.8,25.3
2012-06-01,189.0,9703.0,3137.0,53.0,26.3
2012-05-01,167.0,11062.0,2135.0,292.0,24.8
2012-04-01,165.0,9563.0,2694.0,260.6,24.8
2012-03-01,117.0,10626.0,2373.0,313.4,24.4
2012-02-01,121.0,8818.0,1880.0,83.6,24.8
2012-01-01,127.0,9290.0,1592.0,106.1,24.3
2011-12-01,75.0,11647.0,2775.0,284.6,24.5
2011-11-01,167.0,10694.0,2757.0,377.8,24.6
2011-10-01,166.0,11038.0,2360.0,216.8,24.7
2011-09-01,57.0,11322.0,3644.0,136.4,25.1
2011-08-01,176.0,11867.0,2290.0,81.4,25.6
2011-07-01,180.0,10384.0,2269.0,76.6,25.5
2011-06-01,155.0,10360.0,1988.0,213.0,25.2
2011-05-01,133.0,10505.0,2793.0,127.0,25.2
2011-04-01,65.0,10823.0,2471.0,217.8,24.6
2011-03-01,128.0,11395.0,3293.0,256.6,23.9
2011-02-01,126.0,7520.0,1929.0,23.0,24.1
2011-01-01,191.0,11518.0,2822.0,513.2,23.5
2010-12-01,135.0,11156.0,3214.0,181.4,23.9
2010-11-01,241.0,11017.0,3722.0,278.8,24.2
2010-10-01,160.0,10155.0,2008.0,166.2,25.1
2010-09-01,31.0,10333.0,3283.0,121.5,24.9
2010-08-01,160.0,11622.0,3565.0,158.4,24.6
2010-07-01,37.0,11497.0,2706.0,298.5,24.6
2010-06-01,179.0,10051.0,4563.0,240.5,25.2
2010-05-01,99.0,12707.0,2738.0,157.5,25.9
2010-04-01,184.0,10480.0,3559.0,158.5,25.0
2010-03-01,160.0,10601.0,2861.0,238.0,25.1
2010-02-01,147.0,9215.0,3073.0,6.3,25.5
2010-01-01,197.0,11284.0,3225.0,69.5,24.4
2009-12-01,206.0,10982.0,2575.0,189.8,24.6
2009-11-01,212.0,10609.0,2779.0,281.8,24.8
2009-10-01,174.0,12426.0,3307.0,133.4,25.2
2009-09-01,205.0,10825.0,3945.0,109.6,25.5
2009-08-01,191.0,11071.0,3229.0,177.8,25.6
2009-07-01,107.0,12691.0,4328.0,161.0,25.3
2009-06-01,162.0,12124.0,5268.0,21.8,26.2
2009-05-01,106.0,11226.0,2874.0,198.6,25.3
2009-04-01,166.0,10419.0,2720.0,183.7,25.4
2009-03-01,160.0,10797.0,2558.0,223.3,24.1
2009-02-01,217.0,8611.0,2204.0,201.8,24.2
2009-01-01,217.0,9634.0,2347.0,38.3,24.2
2008-12-01,199.0,10428.0,2298.0,244.2,24.3
2008-11-01,163.0,9936.0,3103.0,324.3,24.5
2008-10-01,124.0,11417.0,4210.0,159.5,25.0
2008-09-01,118.0,11903.0,3702.0,164.4,24.6
2008-08-01,117.0,11492.0,4495.0,327.3,24.7
2008-07-01,105.0,13052.0,4913.0,89.1,25.1
2008-06-01,104.0,10745.0,3926.0,118.3,25.3
2008-05-01,120.0,11591.0,3618.0,124.9,26.0
2008-04-01,100.0,11065.0,2890.0,87.2,25.1
2008-03-01,135.0,11495.0,3646.0,294.1,24.0
2008-02-01,175.0,8138.0,2509.0,129.2,24.0
