,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Subject: Agriculture, Animal Production and Fisheries",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Food Supply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Seafood Supply And Wholesale, Monthly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 30/12/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: AGRI-FOOD AND VETERINARY AUTHORITY, SINGAPORE FOOD AGENCY, ENTERPRISE SINGAPORE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tonnes
Data Series,2022 Nov ,2022 Oct ,2022 Sep ,2022 Aug ,2022 Jul ,2022 Jun ,2022 May ,2022 Apr ,2022 Mar ,2022 Feb ,2022 Jan ,2021 Dec ,2021 Nov ,2021 Oct ,2021 Sep ,2021 Aug ,2021 Jul ,2021 Jun ,2021 May ,2021 Apr ,2021 Mar ,2021 Feb ,2021 Jan ,2020 Dec ,2020 Nov ,2020 Oct ,2020 Sep ,2020 Aug ,2020 Jul ,2020 Jun ,2020 May ,2020 Apr ,2020 Mar ,2020 Feb ,2020 Jan ,2019 Dec ,2019 Nov ,2019 Oct ,2019 Sep ,2019 Aug ,2019 Jul ,2019 Jun ,2019 May ,2019 Apr ,2019 Mar ,2019 Feb ,2019 Jan ,2018 Dec ,2018 Nov ,2018 Oct ,2018 Sep ,2018 Aug ,2018 Jul ,2018 Jun ,2018 May ,2018 Apr ,2018 Mar ,2018 Feb ,2018 Jan ,2017 Dec ,2017 Nov ,2017 Oct ,2017 Sep ,2017 Aug ,2017 Jul ,2017 Jun ,2017 May ,2017 Apr ,2017 Mar ,2017 Feb ,2017 Jan ,2016 Dec ,2016 Nov ,2016 Oct ,2016 Sep ,2016 Aug ,2016 Jul ,2016 Jun ,2016 May ,2016 Apr ,2016 Mar ,2016 Feb ,2016 Jan ,2015 Dec ,2015 Nov ,2015 Oct ,2015 Sep ,2015 Aug ,2015 Jul ,2015 Jun ,2015 May ,2015 Apr ,2015 Mar ,2015 Feb ,2015 Jan ,2014 Dec ,2014 Nov ,2014 Oct ,2014 Sep ,2014 Aug ,2014 Jul ,2014 Jun ,2014 May ,2014 Apr ,2014 Mar ,2014 Feb ,2014 Jan ,2013 Dec ,2013 Nov ,2013 Oct ,2013 Sep ,2013 Aug ,2013 Jul ,2013 Jun ,2013 May ,2013 Apr ,2013 Mar ,2013 Feb ,2013 Jan ,2012 Dec ,2012 Nov ,2012 Oct ,2012 Sep ,2012 Aug ,2012 Jul ,2012 Jun ,2012 May ,2012 Apr ,2012 Mar ,2012 Feb ,2012 Jan ,2011 Dec ,2011 Nov ,2011 Oct ,2011 Sep ,2011 Aug ,2011 Jul ,2011 Jun ,2011 May ,2011 Apr ,2011 Mar ,2011 Feb ,2011 Jan ,2010 Dec ,2010 Nov ,2010 Oct ,2010 Sep ,2010 Aug ,2010 Jul ,2010 Jun ,2010 May ,2010 Apr ,2010 Mar ,2010 Feb ,2010 Jan ,2009 Dec ,2009 Nov ,2009 Oct ,2009 Sep ,2009 Aug ,2009 Jul ,2009 Jun ,2009 May ,2009 Apr ,2009 Mar ,2009 Feb ,2009 Jan ,2008 Dec ,2008 Nov ,2008 Oct ,2008 Sep ,2008 Aug ,2008 Jul ,2008 Jun ,2008 May ,2008 Apr ,2008 Mar ,2008 Feb ,2008 Jan ,2007 Dec ,2007 Nov ,2007 Oct ,2007 Sep ,2007 Aug ,2007 Jul ,2007 Jun ,2007 May ,2007 Apr ,2007 Mar ,2007 Feb ,2007 Jan ,2006 Dec ,2006 Nov ,2006 Oct ,2006 Sep ,2006 Aug ,2006 Jul ,2006 Jun ,2006 May ,2006 Apr ,2006 Mar ,2006 Feb ,2006 Jan ,2005 Dec ,2005 Nov ,2005 Oct ,2005 Sep ,2005 Aug ,2005 Jul ,2005 Jun ,2005 May ,2005 Apr ,2005 Mar ,2005 Feb ,2005 Jan ,2004 Dec ,2004 Nov ,2004 Oct ,2004 Sep ,2004 Aug ,2004 Jul ,2004 Jun ,2004 May ,2004 Apr ,2004 Mar ,2004 Feb ,2004 Jan ,2003 Dec ,2003 Nov ,2003 Oct ,2003 Sep ,2003 Aug ,2003 Jul ,2003 Jun ,2003 May ,2003 Apr ,2003 Mar ,2003 Feb ,2003 Jan ,2002 Dec ,2002 Nov ,2002 Oct ,2002 Sep ,2002 Aug ,2002 Jul ,2002 Jun ,2002 May ,2002 Apr ,2002 Mar ,2002 Feb ,2002 Jan ,2001 Dec ,2001 Nov ,2001 Oct ,2001 Sep ,2001 Aug ,2001 Jul ,2001 Jun ,2001 May ,2001 Apr ,2001 Mar ,2001 Feb ,2001 Jan ,2000 Dec ,2000 Nov ,2000 Oct ,2000 Sep ,2000 Aug ,2000 Jul ,2000 Jun ,2000 May ,2000 Apr ,2000 Mar ,2000 Feb ,2000 Jan ,1999 Dec ,1999 Nov ,1999 Oct ,1999 Sep ,1999 Aug ,1999 Jul ,1999 Jun ,1999 May ,1999 Apr ,1999 Mar ,1999 Feb ,1999 Jan 
Local Landings Of Seafood,13,14,16,17,15,15,17,16,18,21,32,23,16,27,25,25,32,12,29,29,29,31,32,31,28,31,33,27,27,23,34,38,32,35,18,29,71,77,178,85,340,221,111,94,110,49,52,73,114,188,147,143,119,113,148,121,66,39,40,36,63,123,91,188,156,125,102,101,50,39,33,38,118,126,128,132,116,151,103,98,115,54,56,67,112,111,91,117,100,102,105,75,113,118,153,157,168,141,129,140,95,122,107,98,93,104,80,111,173,131,119,130,144,144,157,95,141,150,149,179,204,158,172,178,192,189,167,165,117,121,127,75,167,166,57,176,180,155,133,65,128,126,191,135,241,160,31,160,37,179,99,184,160,147,197,206,212,174,205,191,107,162,106,166,160,217,217,199,163,124,118,117,105,104,120,100,135,175,163,225,179,387,325,385,396,298,277,367,212,223,208,219,287,281,276,280,265,272,357,243,297,234,92,122,195,151,159,144,183,169,146,151,168,218,114,143,166,223,224,234,211,170,164,142,183,143,170,194,216,233,201,234,141,162,139,115,198,111,141,211,218,255,270,235,215,269,218,198,243,183,254,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
Imports Of Seafood,na,na,na,na,na,na,9382,10469,9538,7515,10749,12310,11127,9726,10046,9957,9778,9638,10094,10574,11025,8385,11140,13369,10982,11513,11335,10370,11595,9776,8245,12077,10329,8418,10499,11887,11235,12127,9783,10371,12235,8332,10783,10591,9208,6972,11879,11297,11046,11523,10295,10818,10116,9175,9607,9444,9138,7282,11465,9986,9838,10984,9081,11073,9416,9303,9397,9467,10597,7873,9336,10029,10607,10525,10052,10846,9218,9601,8940,9413,10076,7478,10078,11294,10821,10380,10597,10314,10942,9333,9662,9818,9950,8653,9814,11019,9762,11321,10628,9351,10267,9601,10051,9861,10125,7625,10247,10963,10188,11120,10967,9854,11294,11284,10179,9593,9622,6810,10941,10583,9931,11746,10429,10579,11652,9703,11062,9563,10626,8818,9290,11647,10694,11038,11322,11867,10384,10360,10505,10823,11395,7520,11518,11156,11017,10155,10333,11622,11497,10051,12707,10480,10601,9215,11284,10982,10609,12426,10825,11071,12691,12124,11226,10419,10797,8611,9634,10428,9936,11417,11903,11492,13052,10745,11591,11065,11495,8138,13066,10546,11223,12102,10127,11676,13084,13125,13463,12190,10820,9637,12982,10860,11973,10112,14350,12960,11813,12644,14436,14284,13697,10762,11234,13271,10707,12339,12363,11880,13539,14112,11088,10967,14417,11128,13302,12350,12419,13205,14109,13074,14200,13156,12172,12275,12505,11948,10857,11686,11116,12435,12188,12846,14756,10860,11899,11707,13074,10380,11654,8487,7719,9794,8019,8202,9177,8835,8670,8414,8351,6941,9405,7629,8263,9471,8112,8872,9809,6906,7916,10096,9977,8467,8807,9743,10164,9687,10908,10783,11187,9624,8345,8909,10974,8738,9167,13002,8960,9974,14783,12555,12762,11617,7793,7375,9544,7546,8477
Exports Of Seafood,na,na,na,na,na,na,1030,1162,1061,1423,1200,1697,1302,1378,1687,1945,1117,966,1126,1124,2141,2892,1258,1262,1579,1190,1565,1663,1836,1082,1404,1833,1258,1589,1294,1346,1690,1359,874,1815,2493,1292,1245,1053,1368,1018,1606,1349,1170,1625,1250,2567,2048,1662,1336,1048,1398,1043,1826,1539,1221,1666,1609,1837,1521,1156,1045,907,2221,1542,1280,1633,1353,2416,1712,1987,1345,1532,1281,1179,1953,1439,1628,2207,2054,1863,1545,1948,2976,1491,1581,1901,2100,1738,1421,1130,1207,1500,1336,1287,1597,1279,1216,1672,1477,984,1907,1547,1830,1777,2179,2273,2544,3243,1702,1454,2939,1539,2339,1491,1796,3612,2088,2359,3672,3137,2135,2694,2373,1880,1592,2775,2757,2360,3644,2290,2269,1988,2793,2471,3293,1929,2822,3214,3722,2008,3283,3565,2706,4563,2738,3559,2861,3073,3225,2575,2779,3307,3945,3229,4328,5268,2874,2720,2558,2204,2347,2298,3103,4210,3702,4495,4913,3926,3618,2890,3646,2509,3334,2889,2691,3889,2785,4201,6343,4574,6479,2886,2977,4307,4204,3706,3548,3869,5736,4072,5463,5663,6247,6007,5870,4827,4017,4722,3513,3982,4317,5358,6278,7228,4199,4271,6896,4417,5513,5348,5505,5810,6792,6822,7442,6122,4879,4923,4946,5820,3430,4291,4615,4754,6444,5584,6574,5666,5150,4091,5375,3785,4247,3185,4450,3838,3869,4238,4652,6945,5610,4986,4708,6290,5152,4174,5102,6241,5581,6309,6358,6909,6731,7289,7625,7499,5421,8193,9228,7912,9201,8601,7480,8527,6798,6534,8242,6897,6151,8112,6510,5939,7848,8312,9699,8661,7389,5381,7152,7777,7822
Seafood Wholesale,2482,2601,2589,2724,2467,2503,2319,2897,2910,2241,3390,3421,3173,3034,3177,3026,2643,3384,3422,3515,3428,2950,3729,3621,3446,3760,3812,3440,3728,3587,3270,3523,4154,3243,3470,3448,3394,3660,3516,3570,3770,2965,3718,3347,3173,2565,3783,3633,3577,3882,3312,3527,3346,2879,3262,3570,3257,2975,4136,3312,3749,4167,3722,4135,3778,3288,3922,3627,4084,3396,4231,3557,3845,3998,3940,4087,3588,3841,4041,4016,4332,3375,4471,4002,4204,4298,4024,4106,3890,4014,4093,4205,4283,3850,4467,4422,4446,4903,4563,4393,4282,4030,4584,4566,4811,4073,4929,4657,4950,5234,4985,4675,5300,4743,5191,4867,4933,4052,5507,5002,5229,5669,5221,5059,5161,4679,5163,5121,4968,5064,5069,5148,5262,5640,5266,5345,5101,4583,5425,5298,5237,4130,6200,4762,5017,4745,4372,4478,4477,4460,5543,5734,5146,4847,5307,5648,5575,6446,4990,5467,5543,5707,3631,5428,5472,5559,5866,5869,5023,5812,5390,5614,5595,5325,5802,5529,6732,4743,5854,5948,5956,6398,6027,6458,6465,5863,6188,6045,6112,5560,6082,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Seafood refers to fish, crustaceans and molluscs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Landings Of Seafood (Tonnes):,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
